,Model,Accel,batchsize,avg_runtime,50th_pct,90th_pct,95th_pct
2018,yolov5m,onnxruntime_gpu_pascal,35,529.3785524368286,458.931565284729,466.3186311721802,496.776795387268
2019,yolov5m,onnxruntime_gpu_pascal,36,540.2339720726013,469.7014093399048,476.1482238769531,491.5775179862976
2020,yolov5m,onnxruntime_gpu_pascal,37,557.3004961013794,482.8529357910156,507.43494033813477,531.0524582862852
2021,yolov5m,onnxruntime_gpu_pascal,38,582.3397612571716,494.248628616333,503.86860370635986,520.2536940574646
2022,yolov5m,onnxruntime_gpu_pascal,39,582.5510954856873,507.99083709716797,536.4486217498779,570.3542828559874
2023,yolov5m,onnxruntime_gpu_pascal,40,587.9571557044983,519.2755460739136,530.5973529815674,556.2792062759399
2024,yolov5m,onnxruntime_gpu_pascal,41,603.1828570365906,532.2134494781494,560.9427452087402,576.3388037681578
2025,yolov5m,onnxruntime_gpu_pascal,42,620.6509256362915,546.2803840637207,588.6059522628785,623.24059009552
2026,yolov5m,onnxruntime_gpu_pascal,43,630.5207896232605,558.6855411529541,579.2728185653688,616.5677428245543
2027,yolov5m,onnxruntime_gpu_pascal,44,644.9705600738525,571.4335441589355,611.2612962722778,662.7098679542542
2028,yolov5m,onnxruntime_gpu_pascal,45,657.5372529029846,584.3634605407715,605.563497543335,640.666103363037
2029,yolov5m,onnxruntime_gpu_pascal,46,672.6315450668335,596.159815788269,636.0765695571899,708.5567235946655
2030,yolov5m,onnxruntime_gpu_pascal,47,682.6593327522278,608.5190773010254,629.7688484191895,667.3689365386961
2031,yolov5m,onnxruntime_gpu_pascal,48,700.375406742096,623.0282783508301,675.8399486541748,731.5477728843689
2032,yolov5m,onnxruntime_gpu_pascal,49,726.3411974906921,647.1197605133057,695.6836223602295,743.4071660041809
2033,yolov5m,onnxruntime_gpu_pascal,50,739.0114688873291,659.4676971435547,717.9388999938965,733.7627530097961
2034,yolov5m,onnxruntime_gpu_pascal,51,750.7582712173462,669.154167175293,730.9044599533082,763.1274700164794
2035,yolov5m,onnxruntime_gpu_pascal,52,761.4208889007568,681.6622018814087,759.6239328384399,779.739224910736
2036,yolov5m,onnxruntime_gpu_pascal,53,776.1482739448547,695.5925226211548,777.0169496536256,798.8135576248169
2037,yolov5m,onnxruntime_gpu_pascal,54,790.3835153579712,706.0335874557495,793.333911895752,804.5918822288512
2038,yolov5m,onnxruntime_gpu_pascal,55,780.5973863601685,717.7011966705322,810.0615501403809,816.3776516914368
2039,yolov5m,onnxruntime_gpu_pascal,56,790.0250220298767,729.7772169113159,827.118182182312,836.1030101776123
2040,yolov5m,onnxruntime_gpu_pascal,57,791.3274240493774,742.8508996963501,832.742166519165,847.5543975830078
2041,yolov5m,onnxruntime_gpu_pascal,58,803.800938129425,754.6674013137817,849.7342824935913,864.1355276107788
2042,yolov5m,onnxruntime_gpu_pascal,59,819.8697876930237,767.4546241760254,867.0360088348389,883.4433674812317
2043,yolov5m,onnxruntime_gpu_pascal,60,831.5640377998352,780.3041934967041,875.2909660339355,892.1562910079956
2044,yolov5m,onnxruntime_gpu_pascal,61,843.5416722297668,789.392352104187,888.9181137084962,902.9927849769592
2045,yolov5m,onnxruntime_gpu_pascal,62,852.139241695404,801.0830879211426,879.6700954437257,910.4756951332092
2046,yolov5m,onnxruntime_gpu_pascal,63,874.7671484947205,817.2265291213989,918.4334754943848,927.8447151184082
2047,yolov5m,onnxruntime_gpu_pascal,64,887.3966336250305,830.1280736923218,932.4673414230348,941.0856246948243
2048,yolov5n,onnxruntime_gpu_pascal,1,41.5371394157409,9.4492435455322,9.9233627319335,12.888455390930101
2049,yolov5n,onnxruntime_gpu_pascal,2,18.5789036750793,12.810468673706,13.439130783081,19.584798812866197
2050,yolov5n,onnxruntime_gpu_pascal,3,25.6788945198059,17.1070098876953,21.0475921630859,27.1964192390441
2051,yolov5n,onnxruntime_gpu_pascal,4,38.2742714881896,32.690405845642,43.3592081069946,48.3020901679992
2052,yolov5n,onnxruntime_gpu_pascal,5,46.1705446243286,40.6391620635986,41.8490171432495,42.4899935722351
2053,yolov5n,onnxruntime_gpu_pascal,6,57.3057699203491,49.558758735656696,52.757716178894,54.6555995941162
2054,yolov5n,onnxruntime_gpu_pascal,7,70.5944371223449,63.863754272460895,68.1320905685424,72.01454639434809
2055,yolov5n,onnxruntime_gpu_pascal,8,83.6511135101318,73.0299949645996,80.5208206176757,92.0681715011593
2056,yolov5n,onnxruntime_gpu_pascal,9,91.2263369560241,80.1388025283813,95.8205461502075,136.61679029464722
2057,yolov5n,onnxruntime_gpu_pascal,10,137.0138001441955,110.8708381652832,211.54882907867432,219.9504375457763
2058,yolov5n,onnxruntime_gpu_pascal,11,156.8267059326172,122.6016283035278,235.5417013168335,249.1451025009155
2059,yolov5n,onnxruntime_gpu_pascal,12,151.6233277320861,128.4468173980713,246.6191530227661,262.6425147056579
2060,yolov5n,onnxruntime_gpu_pascal,13,187.274751663208,152.326226234436,267.3552274703979,282.2637557983398
2061,yolov5n,onnxruntime_gpu_pascal,14,205.17540693283078,165.0316715240478,282.6728343963623,297.80821800231934
2062,yolov5n,onnxruntime_gpu_pascal,15,230.0881218910217,208.4479331970214,303.41222286224365,311.2239122390747
2063,yolov5n,onnxruntime_gpu_pascal,16,242.59748458862302,231.7156791687011,316.3509845733642,327.8018116950988
2064,yolov5n,onnxruntime_gpu_pascal,17,258.4057164192199,257.046103477478,313.72239589691156,325.6916999816894
2065,yolov5n,onnxruntime_gpu_pascal,18,274.3079781532287,280.547022819519,342.2226667404174,362.1814727783203
2066,yolov5n,onnxruntime_gpu_pascal,19,281.9207000732422,271.4438438415527,352.3431539535522,366.3881540298461
2067,yolov5n,onnxruntime_gpu_pascal,20,293.6836886405944,264.0165090560913,382.6575517654419,396.4589118957519
2068,yolov5n,onnxruntime_gpu_pascal,21,261.2258911132812,222.4448919296264,375.3550052642822,390.16964435577387
2069,yolov5n,onnxruntime_gpu_pascal,22,280.39927005767817,235.9416484832763,400.7758855819702,440.90075492858887
2070,yolov5n,onnxruntime_gpu_pascal,23,294.80030298233027,259.812593460083,416.5457725524902,438.6147379875181
2071,yolov5n,onnxruntime_gpu_pascal,24,302.82477855682373,276.9544124603271,414.9742126464844,429.6726107597351
2072,yolov5n,onnxruntime_gpu_pascal,25,231.845588684082,204.2580842971801,262.1127128601074,336.0123991966247
2073,yolov5n,onnxruntime_gpu_pascal,26,313.4437179565429,256.6481828689575,451.5484571456909,480.35379648208595
2074,yolov5n,onnxruntime_gpu_pascal,27,317.6805138587951,253.8005113601684,458.5984945297241,477.3284792900085
2075,yolov5n,onnxruntime_gpu_pascal,28,334.6627736091613,278.1344652175903,482.1003675460816,496.9313263893127
2076,yolov5n,onnxruntime_gpu_pascal,29,329.1031265258789,268.2842016220093,470.8829164505005,489.4617795944214
2077,yolov5n,onnxruntime_gpu_pascal,30,349.8137545585632,276.5768766403198,502.5287628173828,521.1728572845459
2078,yolov5n,onnxruntime_gpu_pascal,31,276.10035419464106,250.66888332366938,257.8966617584228,352.7383685111999
2079,yolov5n,onnxruntime_gpu_pascal,32,273.3907151222229,258.2534551620483,269.60091590881353,280.03751039505
2080,yolov5n,onnxruntime_gpu_pascal,33,330.1634955406189,298.7595796585083,412.7208709716797,428.7016034126282
2081,yolov5n,onnxruntime_gpu_pascal,34,393.321270942688,367.7595853805542,467.1383142471313,477.8053045272827
2082,yolov5n,onnxruntime_gpu_pascal,35,422.0129203796386,436.6447925567627,521.4191675186157,540.7884597778319
2083,yolov5n,onnxruntime_gpu_pascal,36,451.5696144104004,470.1098203659057,526.4008522033691,545.2211618423462
2084,yolov5n,onnxruntime_gpu_pascal,37,500.61864614486694,506.3093900680542,574.7651100158691,617.3535346984863
2085,yolov5n,onnxruntime_gpu_pascal,38,522.3289585113525,529.5135974884033,592.0154094696045,620.9081411361694
2086,yolov5n,onnxruntime_gpu_pascal,39,570.4650497436523,561.3323450088501,628.8223505020142,657.3098301887512
2087,yolov5n,onnxruntime_gpu_pascal,40,522.9953241348267,541.6438579559326,619.5149183273315,657.157027721405
2088,yolov5n,onnxruntime_gpu_pascal,41,365.2882528305053,328.4037113189697,440.05639553070097,507.0389032363891
2089,yolov5n,onnxruntime_gpu_pascal,42,605.4257822036743,603.365421295166,697.720456123352,733.4327220916748
2090,yolov5n,onnxruntime_gpu_pascal,43,608.460111618042,620.0028657913208,713.5830640792847,740.0073409080505
2091,yolov5n,onnxruntime_gpu_pascal,44,647.1218919754028,628.4862756729126,745.8876371383667,775.4074573516845
2092,yolov5n,onnxruntime_gpu_pascal,45,635.4332399368286,647.937536239624,755.7278633117677,781.9005250930785
2093,yolov5n,onnxruntime_gpu_pascal,46,681.2274980545044,673.5241413116455,757.5327634811403,834.2413783073424
2094,yolov5n,onnxruntime_gpu_pascal,47,687.7179980278015,684.7883462905884,771.6805458068849,786.6220116615294
2095,yolov5n,onnxruntime_gpu_pascal,48,628.1145572662354,640.1245594024658,768.8297510147095,797.8570222854613
2096,yolov5n,onnxruntime_gpu_pascal,49,669.0094780921936,678.7031888961792,806.1870574951172,826.8654942512512
2097,yolov5n,onnxruntime_gpu_pascal,50,594.8347520828247,598.2118844985962,781.5367460250854,838.6327147483826
2098,yolov5n,onnxruntime_gpu_pascal,51,748.1969666481018,752.7137994766235,857.9289674758912,891.0474181175232
2099,yolov5n,onnxruntime_gpu_pascal,52,763.4910321235657,766.3605213165283,870.1809406280518,894.3805694580078
2100,yolov5n,onnxruntime_gpu_pascal,53,784.757239818573,783.0790281295776,886.9419097900391,909.8144412040709
2101,yolov5n,onnxruntime_gpu_pascal,54,697.9057931900024,728.8035154342651,885.7904672622681,950.410497188568
2102,yolov5n,onnxruntime_gpu_pascal,55,815.1624178886414,820.7824230194092,937.57746219635,963.2408618927002
2103,yolov5n,onnxruntime_gpu_pascal,56,783.5156679153442,801.8604516983032,902.7707338333132,940.2414560317992
2104,yolov5n,onnxruntime_gpu_pascal,57,841.0247540473938,835.8243703842163,961.6054773330687,1003.3135294914246
2105,yolov5n,onnxruntime_gpu_pascal,58,663.0439710617065,567.1050548553467,915.1000261306764,963.9704704284668
2106,yolov5n,onnxruntime_gpu_pascal,59,646.3785886764526,540.3399467468262,917.3845767974855,977.7506828308105
2107,yolov5n,onnxruntime_gpu_pascal,60,681.3728785514832,590.2554988861084,958.8718175888063,991.3450121879578
2108,yolov5n,onnxruntime_gpu_pascal,61,859.7243547439575,848.7238883972168,1028.0681848526,1087.0094418525696
2109,yolov5n,onnxruntime_gpu_pascal,62,715.6838297843933,716.2908315658569,913.194990158081,931.7441344261168
2110,yolov5n,onnxruntime_gpu_pascal,63,953.3482956886293,978.5369634628296,1077.808666229248,1097.241497039795
2111,yolov5n,onnxruntime_gpu_pascal,64,959.2456412315368,968.4064388275146,1091.258144378662,1165.8764600753784
2112,yolov5s,onnxruntime_gpu_pascal,1,40.075707435607896,11.0362768173217,11.686086654662999,13.2638931274414
2113,yolov5s,onnxruntime_gpu_pascal,2,46.7856359481811,19.1197395324707,19.399333000183102,19.5311307907104
2114,yolov5s,onnxruntime_gpu_pascal,3,42.3351144790649,28.0252695083618,28.2899618148803,28.607559204101502
2115,yolov5s,onnxruntime_gpu_pascal,4,53.9601254463195,35.241603851318295,45.118761062622,47.6193189620971
2116,yolov5s,onnxruntime_gpu_pascal,5,66.51772260665891,42.6441431045532,54.536414146423304,54.9065947532653
2117,yolov5s,onnxruntime_gpu_pascal,6,78.301784992218,66.3048028945922,67.7257537841796,67.8908944129943
2118,yolov5s,onnxruntime_gpu_pascal,7,91.1127495765686,75.8697986602783,76.6099214553833,77.07867622375481
2119,yolov5s,onnxruntime_gpu_pascal,8,102.3134970664978,85.6974124908447,87.3620271682739,91.6419863700866
2120,yolov5s,onnxruntime_gpu_pascal,9,124.4231295585632,95.59404850006099,98.5328197479248,108.5903644561767
2121,yolov5s,onnxruntime_gpu_pascal,10,123.3387351036071,104.673147201538,106.2171459197998,110.56967973709101
2122,yolov5s,onnxruntime_gpu_pascal,11,132.8352499008178,115.3714656829834,116.3081884384155,116.8566465377807
2123,yolov5s,onnxruntime_gpu_pascal,12,141.1145043373108,123.6670017242431,124.98452663421631,125.7209658622741
2124,yolov5s,onnxruntime_gpu_pascal,13,152.2603178024292,133.365511894226,134.8222732543945,135.18171310424802
2125,yolov5s,onnxruntime_gpu_pascal,14,162.60919809341428,143.9820528030395,145.82555294036862,148.98372888565058
2126,yolov5s,onnxruntime_gpu_pascal,15,184.2285013198852,154.5346975326538,156.58643245697021,157.4747562408447
2127,yolov5s,onnxruntime_gpu_pascal,16,183.3410406112671,163.4970903396606,166.7495727539062,169.0812110900878
2128,yolov5s,onnxruntime_gpu_pascal,17,196.31455659866327,175.8838891983032,178.7055015563964,179.83658313751218
2129,yolov5s,onnxruntime_gpu_pascal,18,204.7517728805542,184.3905448913574,186.6118907928466,187.7050280570983
2130,yolov5s,onnxruntime_gpu_pascal,19,214.9555349349975,194.36192512512199,196.5331315994262,199.58882331848142
2131,yolov5s,onnxruntime_gpu_pascal,20,226.2236785888672,203.1301259994506,205.3013324737548,208.0525875091552
2132,yolov5s,onnxruntime_gpu_pascal,21,236.9993305206298,213.1663560867309,215.6458139419555,216.78165197372428
